"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2018"	"2018"	8	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			18	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	68	15806306	0.4
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	60	16246231	0.4
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			128	32052537	0.4
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	51	15806306	0.3
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2018"	"2018"	51	16246231	0.3
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			102	32052537	0.3
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2017"	"2017"	5	15806306	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2018"	"2018"	1	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"			6	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	228	15806306	1.4
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2018"	"2018"	247	16246231	1.5
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			475	32052537	1.5
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2017"	"2017"	2	15806306	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2018"	"2018"	1	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to alcohol"	"X65"			3	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2017"	"2017"	7	15806306	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2018"	"2018"	3	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"			10	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2017"	"2017"	26	15806306	0.2
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2018"	"2018"	21	16246231	0.1
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"			47	32052537	0.1
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to pesticides"	"X68"	"2017"	"2017"	1	15806306	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to pesticides"	"X68"			1	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2017"	"2017"	7	15806306	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2018"	"2018"	7	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"			14	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2017"	"2017"	134	15806306	0.8
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2018"	"2018"	142	16246231	0.9
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"			276	32052537	0.9
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by drowning and submersion"	"X71"	"2017"	"2017"	27	15806306	0.2
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by drowning and submersion"	"X71"	"2018"	"2018"	23	16246231	0.1
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by drowning and submersion"	"X71"			50	32052537	0.2
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by handgun discharge"	"X72"	"2017"	"2017"	91	15806306	0.6
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by handgun discharge"	"X72"	"2018"	"2018"	111	16246231	0.7
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by handgun discharge"	"X72"			202	32052537	0.6
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2017"	"2017"	12	15806306	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2018"	"2018"	8	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"			20	32052537	0.1
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2017"	"2017"	226	15806306	1.4
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2018"	"2018"	255	16246231	1.6
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			481	32052537	1.5
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2017"	"2017"	8	15806306	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2018"	"2018"	4	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by smoke, fire and flames"	"X76"			12	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by sharp object"	"X78"	"2017"	"2017"	28	15806306	0.2
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by sharp object"	"X78"	"2018"	"2018"	24	16246231	0.1
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by sharp object"	"X78"			52	32052537	0.2
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by jumping from a high place"	"X80"	"2017"	"2017"	35	15806306	0.2
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by jumping from a high place"	"X80"	"2018"	"2018"	33	16246231	0.2
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by jumping from a high place"	"X80"			68	32052537	0.2
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2017"	"2017"	10	15806306	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2018"	"2018"	4	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by jumping or lying before moving object"	"X81"			14	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2018"	"2018"	3	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by crashing of motor vehicle"	"X82"			3	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by other specified means"	"X83"	"2017"	"2017"	1	15806306	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by other specified means"	"X83"	"2018"	"2018"	2	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by other specified means"	"X83"			3	32052537	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by unspecified means"	"X84"	"2017"	"2017"	4	15806306	Unreliable
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by unspecified means"	"X84"	"2018"	"2018"	2	16246231	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-harm by unspecified means"	"X84"			6	32052537	Unreliable
"Total"	"Female"	"F"	"65-74 years"	"65-74"					1991	32052537	6.2
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	3	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2018"	"2018"	2	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			5	16958010	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	14	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	24	8659334	0.3
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			38	16958010	0.2
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	12	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2018"	"2018"	21	8659334	0.2
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			33	16958010	0.2
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2017"	"2017"	2	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2018"	"2018"	2	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"			4	16958010	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	77	8298676	0.9
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2018"	"2018"	63	8659334	0.7
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			140	16958010	0.8
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2017"	"2017"	16	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2018"	"2018"	15	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"			31	16958010	0.2
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to pesticides"	"X68"	"2018"	"2018"	1	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-poisoning by and exposure to pesticides"	"X68"			1	16958010	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2017"	"2017"	52	8298676	0.6
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2018"	"2018"	53	8659334	0.6
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"			105	16958010	0.6
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by drowning and submersion"	"X71"	"2017"	"2017"	7	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by drowning and submersion"	"X71"	"2018"	"2018"	6	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by drowning and submersion"	"X71"			13	16958010	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by handgun discharge"	"X72"	"2017"	"2017"	46	8298676	0.6
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by handgun discharge"	"X72"	"2018"	"2018"	39	8659334	0.5
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by handgun discharge"	"X72"			85	16958010	0.5
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2017"	"2017"	2	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2018"	"2018"	2	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"			4	16958010	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2017"	"2017"	91	8298676	1.1
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2018"	"2018"	100	8659334	1.2
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			191	16958010	1.1
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2017"	"2017"	1	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2018"	"2018"	1	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by smoke, fire and flames"	"X76"			2	16958010	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by sharp object"	"X78"	"2017"	"2017"	14	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by sharp object"	"X78"	"2018"	"2018"	6	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by sharp object"	"X78"			20	16958010	0.1
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by jumping from a high place"	"X80"	"2017"	"2017"	11	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by jumping from a high place"	"X80"	"2018"	"2018"	21	8659334	0.2
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by jumping from a high place"	"X80"			32	16958010	0.2
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2017"	"2017"	1	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2018"	"2018"	3	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by jumping or lying before moving object"	"X81"			4	16958010	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2017"	"2017"	3	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2018"	"2018"	1	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by crashing of motor vehicle"	"X82"			4	16958010	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by other specified means"	"X83"	"2017"	"2017"	2	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by other specified means"	"X83"	"2018"	"2018"	1	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by other specified means"	"X83"			3	16958010	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by unspecified means"	"X84"	"2017"	"2017"	1	8298676	Unreliable
	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by unspecified means"	"X84"	"2018"	"2018"	2	8659334	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"	"Intentional self-harm by unspecified means"	"X84"			3	16958010	Unreliable
"Total"	"Female"	"F"	"75-84 years"	"75-84"					718	16958010	4.2
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	7	4189013	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			7	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	11	4189013	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	14	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			25	8407823	0.3
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	9	4189013	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2018"	"2018"	9	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			18	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2017"	"2017"	2	4189013	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2018"	"2018"	1	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"			3	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	25	4189013	0.6
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2018"	"2018"	32	4218810	0.8
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			57	8407823	0.7
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2017"	"2017"	1	4189013	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to alcohol"	"X65"			1	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2017"	"2017"	6	4189013	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2018"	"2018"	11	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"			17	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to pesticides"	"X68"	"2018"	"2018"	1	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to pesticides"	"X68"			1	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2017"	"2017"	1	4189013	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"			1	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2017"	"2017"	26	4189013	0.6
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2018"	"2018"	27	4218810	0.6
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"			53	8407823	0.6
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by drowning and submersion"	"X71"	"2017"	"2017"	6	4189013	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by drowning and submersion"	"X71"	"2018"	"2018"	6	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by drowning and submersion"	"X71"			12	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by handgun discharge"	"X72"	"2017"	"2017"	9	4189013	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by handgun discharge"	"X72"	"2018"	"2018"	15	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by handgun discharge"	"X72"			24	8407823	0.3
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2017"	"2017"	3	4189013	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2018"	"2018"	1	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"			4	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2017"	"2017"	25	4189013	0.6
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2018"	"2018"	27	4218810	0.6
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			52	8407823	0.6
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by sharp object"	"X78"	"2017"	"2017"	4	4189013	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by sharp object"	"X78"	"2018"	"2018"	3	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by sharp object"	"X78"			7	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by jumping from a high place"	"X80"	"2017"	"2017"	7	4189013	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by jumping from a high place"	"X80"	"2018"	"2018"	4	4218810	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by jumping from a high place"	"X80"			11	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2017"	"2017"	1	4189013	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by jumping or lying before moving object"	"X81"			1	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by other specified means"	"X83"	"2017"	"2017"	1	4189013	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by other specified means"	"X83"			1	8407823	Unreliable
	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by unspecified means"	"X84"	"2017"	"2017"	1	4189013	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"	"Intentional self-harm by unspecified means"	"X84"			1	8407823	Unreliable
"Total"	"Female"	"F"	"85+ years"	"85+"					296	8407823	3.5
	"Female"	"F"	"Not Stated"	"NS"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	1	Not Applicable	Not Applicable
"Total"	"Female"	"F"	"Not Stated"	"NS"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			1	Not Applicable	Not Applicable
	"Female"	"F"	"Not Stated"	"NS"	"Intentional self-harm by drowning and submersion"	"X71"	"2017"	"2017"	1	Not Applicable	Not Applicable
"Total"	"Female"	"F"	"Not Stated"	"NS"	"Intentional self-harm by drowning and submersion"	"X71"			1	Not Applicable	Not Applicable
"Total"	"Female"	"F"	"Not Stated"	"NS"					2	Not Applicable	Not Applicable
"Total"	"Female"	"F"							20955	331349814	6.3
	"Male"	"M"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	1	20973213	Unreliable
"Total"	"Male"	"M"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			1	41948043	Unreliable
	"Male"	"M"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	2	20973213	Unreliable
"Total"	"Male"	"M"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			2	41948043	Unreliable
	"Male"	"M"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	3	20973213	Unreliable
"Total"	"Male"	"M"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			3	41948043	Unreliable
